거래일자,거래시간,지역,연료원,전력거래량(MWh)
2024-01-01,10,대구시,태양광,12.419285
2024-01-01,11,대구시,태양광,21.87483
2024-01-01,12,대구시,태양광,28.02158
2024-01-01,13,대구시,태양광,30.393004
2024-01-01,14,대구시,태양광,29.070558
2024-01-01,15,대구시,태양광,23.593793
2024-01-01,16,대구시,태양광,13.284267
2024-01-01,17,대구시,태양광,5.035936
2024-01-01,18,대구시,태양광,2.524505
2024-01-01,19,대구시,태양광,2.972456
2024-01-01,20,대구시,태양광,1.073216
2024-01-01,21,대구시,태양광,0.60576
2024-01-01,22,대구시,태양광,0.13344
2024-01-01,23,대구시,태양광,0
2024-01-01,24,대구시,태양광,0
2024-01-01,1,대전시,태양광,0
2024-01-01,2,대전시,태양광,0
2024-01-01,3,대전시,태양광,0
2024-01-01,4,대전시,태양광,0
2024-01-01,5,대전시,태양광,0
2024-01-01,6,대전시,태양광,0
2024-01-01,7,대전시,태양광,0
2024-01-01,8,대전시,태양광,0.000225
2024-01-01,9,대전시,태양광,0.223656
2024-01-01,10,대전시,태양광,1.025042
2024-01-01,11,대전시,태양광,2.897302
2024-01-01,12,대전시,태양광,6.408058
2024-01-01,13,대전시,태양광,7.254651
2024-01-01,14,대전시,태양광,6.910607
2024-01-01,15,대전시,태양광,3.706006
2024-01-01,16,대전시,태양광,0.957812
2024-01-01,17,대전시,태양광,0.48992
2024-01-01,18,대전시,태양광,0.014413
2024-01-01,19,대전시,태양광,0
2024-01-01,20,대전시,태양광,0
2024-01-01,21,대전시,태양광,0
2024-01-01,22,대전시,태양광,0
2024-01-01,23,대전시,태양광,0
2024-01-01,24,대전시,태양광,0
2024-01-01,1,부산시,태양광,0
2024-01-01,2,부산시,태양광,0
2024-01-01,3,부산시,태양광,0
2024-01-01,4,부산시,태양광,0
2024-01-01,5,부산시,태양광,0
2024-01-01,6,부산시,태양광,0
2024-01-01,7,부산시,태양광,0
2024-01-01,8,부산시,태양광,0.234033
2024-01-01,9,부산시,태양광,7.753249
2024-01-01,10,부산시,태양광,29.699845
2024-01-01,11,부산시,태양광,49.558136
2024-01-01,12,부산시,태양광,60.399969
2024-01-01,13,부산시,태양광,61.329805
2024-01-01,14,부산시,태양광,47.611373
2024-01-01,15,부산시,태양광,29.21213
2024-01-01,16,부산시,태양광,17.579898
2024-01-01,17,부산시,태양광,7.180577
2024-01-01,18,부산시,태양광,2.75739
2024-01-01,19,부산시,태양광,3.122703
2024-01-01,20,부산시,태양광,2.501904
2024-01-01,21,부산시,태양광,1.15694
2024-01-01,22,부산시,태양광,0.05048
2024-01-01,23,부산시,태양광,0.00888
2024-01-01,24,부산시,태양광,0
2024-01-01,1,서울시,태양광,0
2024-01-01,2,서울시,태양광,0
2024-01-01,3,서울시,태양광,0
2024-01-01,4,서울시,태양광,0
2024-01-01,5,서울시,태양광,0
2024-01-01,6,서울시,태양광,0
