기준연월,시간대,행정동코드,행정동명,이동건수
2022-04,00,2611058000,남포동,172710
2022-04,10,2611058000,남포동,401840
2022-04,20,2611058000,남포동,404099
2022-04,21,2611058000,남포동,349060
2022-04,16,2611058000,남포동,566549
2022-04,19,2611058000,남포동,463900
2022-04,07,2611058000,남포동,230774
2022-04,15,2611058000,남포동,573469
2022-04,13,2611058000,남포동,555007
2022-04,03,2611058000,남포동,154245
2022-04,04,2611058000,남포동,157552
2022-04,12,2611058000,남포동,522161
2022-04,23,2611058000,남포동,198900
2022-04,01,2611058000,남포동,161443
2022-04,14,2611058000,남포동,573218
2022-04,05,2611058000,남포동,173945
2022-04,06,2611058000,남포동,197909
2022-04,02,2611058000,남포동,156752
2022-04,09,2611058000,남포동,342586
2022-04,17,2611058000,남포동,558232
2022-04,22,2611058000,남포동,297103
2022-04,18,2611058000,남포동,527030
2022-04,11,2611058000,남포동,465324
2022-04,08,2611058000,남포동,285854
2022-04,17,2611059000,영주1동,44838
2022-04,07,2611059000,영주1동,31429
2022-04,20,2611059000,영주1동,35360
2022-04,18,2611059000,영주1동,40688
2022-04,02,2611059000,영주1동,19615
2022-04,01,2611059000,영주1동,19424
2022-04,22,2611059000,영주1동,32852
2022-04,19,2611059000,영주1동,37749
2022-04,23,2611059000,영주1동,17288
2022-04,14,2611059000,영주1동,50910
2022-04,04,2611059000,영주1동,20709
2022-04,09,2611059000,영주1동,47513
2022-04,12,2611059000,영주1동,51528
2022-04,05,2611059000,영주1동,23418
2022-04,03,2611059000,영주1동,19825
2022-04,11,2611059000,영주1동,51445
2022-04,08,2611059000,영주1동,44474
2022-04,13,2611059000,영주1동,51713
2022-04,15,2611059000,영주1동,48487
2022-04,06,2611059000,영주1동,26061
2022-04,21,2611059000,영주1동,33541
2022-04,00,2611059000,영주1동,19920
2022-04,16,2611059000,영주1동,47267
2022-04,10,2611059000,영주1동,49540
2022-04,06,2611060000,영주2동,246791
2022-04,05,2611060000,영주2동,249860
2022-04,01,2611060000,영주2동,250042
2022-04,10,2611060000,영주2동,210956
2022-04,04,2611060000,영주2동,251907
2022-04,12,2611060000,영주2동,195671
2022-04,03,2611060000,영주2동,253352
2022-04,07,2611060000,영주2동,242706
2022-04,18,2611060000,영주2동,202226
2022-04,11,2611060000,영주2동,201980
2022-04,20,2611060000,영주2동,218898
2022-04,17,2611060000,영주2동,198027
2022-04,16,2611060000,영주2동,195179
2022-04,21,2611060000,영주2동,228058
2022-04,15,2611060000,영주2동,195035
2022-04,08,2611060000,영주2동,227794
2022-04,19,2611060000,영주2동,210459
2022-04,22,2611060000,영주2동,236521
2022-04,13,2611060000,영주2동,196067
2022-04,23,2611060000,영주2동,241844
2022-04,02,2611060000,영주2동,253193
2022-04,09,2611060000,영주2동,219150
2022-04,14,2611060000,영주2동,195280
2022-04,00,2611060000,영주2동,247289
2022-04,00,2614051000,동대신1동,96254
2022-04,17,2614051000,동대신1동,88667
2022-04,09,2614051000,동대신1동,90222
2022-04,14,2614051000,동대신1동,86456
2022-04,18,2614051000,동대신1동,93906
2022-04,12,2614051000,동대신1동,84869
2022-04,15,2614051000,동대신1동,83822
2022-04,10,2614051000,동대신1동,87993
2022-04,16,2614051000,동대신1동,84009
2022-04,11,2614051000,동대신1동,85947
2022-04,13,2614051000,동대신1동,85615
